Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","664269","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","708443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","490680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","495447","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2513","Barley and products","2012","2012","1000 tonnes","131476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","142460","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2514","Maize and products","2012","2012","1000 tonnes","873425","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","1017031","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2515","Rye and products","2012","2012","1000 tonnes","14540","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2515","Rye and products","2013","2013","1000 tonnes","16711","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2516","Oats","2012","2012","1000 tonnes","21296","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2516","Oats","2013","2013","1000 tonnes","23813","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2517","Millet and products","2012","2012","1000 tonnes","30261","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2517","Millet and products","2013","2013","1000 tonnes","28909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2518","Sorghum and products","2012","2012","1000 tonnes","57053","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2518","Sorghum and products","2013","2013","1000 tonnes","62118","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2520","Cereals, Other","2012","2012","1000 tonnes","27050","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5000","World","5511","Production","2520","Cereals, Other","2013","2013","1000 tonnes","28415","A","Aggregate, may include official, semi-official, estimated or calculated data"
